	0.0	12.46588546	24.72869498	37.00983173	49.51530794	62.01899687	74.56033767
0	11.952827	12.205492	8.992829	9.697005	10.765998	10.675587	11.865151
5	9.437189375	12.56966005	11.88873878	10.75018945	12.47203839	12.28268326	12.50736754
10	11.15520059	12.10414441	11.38723472	11.43088527	15.35197325	13.17444713	15.01158664
15	14.84100293	11.69925199	10.82001256	9.331670859	16.72570172	11.08884463	13.0705742
20	100.3618705	22.10576429	13.29710231	14.27680449	11.62051722	13.28699124	12.9197922
25	2004.077936	787.5369131	247.6318123	52.09070537	23.0446185	16.48148853	18.04442576
30	11320.46496	6188.644005	2934.066662	1188.321902	419.1400981	135.3585456	42.3234263
35	29110.88264	20206.59902	12501.50104	7334.578863	3605.108105	1498.300583	676.1051515
40	44730.06588	35717.40972	27100.85091	20212.22886	13084.80839	7293.89459	4273.503589
45	50217.25744	44197.24685	38002.4078	33424.8334	25831.57939	18034.76876	13176.25538
50	47039.11168	43795.8813	40949.39703	39927.43312	34811.51883	28760.44767	24355.63916
55	39190.32579	37724.31789	37167.26787	38771.56998	36725.68554	33980.67434	31934.53233
60	30665.12366	30105.16678	30348.69357	33238.72654	33313.5593	33278.33244	33449.14478
65	23222.62386	22950.02159	23566.51588	26334.70686	27242.47026	28760.02708	30475.22074
70	17040.48007	16840.41569	17497.03572	19870.90048	21099.94499	22898.30413	25178.6445
75	12307.12775	12276.37388	12735.56876	14629.67409	15613.70438	17334.27282	19296.89705
80	8934.159895	8823.55493	9165.513819	10547.04172	11252.62033	12567.08664	14213.29143
85	6640.173953	6455.918132	6626.880894	7650.933419	8222.42419	9253.890318	10390.65417
90	5001.480203	4842.708718	4985.687682	5695.093074	5969.653537	6635.633579	7644.066842
95	3733.561072	3621.340689	3644.036432	4164.701715	4351.387891	4731.011854	5283.305405
100	2834.09031	2702.403697	2685.295899	3050.188596	3111.435795	3347.560351	3689.905198
105	2013.831989	1903.729239	1967.378739	2219.69424	2299.404359	2406.693902	2596.222074
110	1456.348087	1363.535067	1374.886626	1583.315352	1683.447176	1746.374259	1921.19734
115	1085.533501	1018.594076	1021.647797	1147.928373	1208.048252	1242.31686	1424.888412
120	866.9265611	810.7388565	746.1464449	884.5390156	915.1130467	963.9735404	1051.504878
125	685.6464964	647.39471	619.4203157	698.5536563	724.0320747	715.9767314	766.2168571
130	557.9701479	511.772306	500.4370401	566.5495232	545.8809632	552.0405527	589.1686019
135	432.7026358	415.6988153	376.3208848	440.5403948	456.4492009	441.1089942	494.5414858
140	361.6410733	318.1763755	330.9192029	356.1500128	354.0856208	338.8949283	358.4972381
145	286.62785	252.6491602	248.0347756	275.8366042	298.632055	262.0477177	293.5728315
