plant,method,velocity_mm_per_min,intercept_mm,r2,slope_std
Tomato,ransac_intercept,6.40246094286978,-176.17814723474683,0.9748274499735259,1.0288372245905462
Tomato,halfmax_spline,6.301994862311491,-233.5283808179645,0.9971706969677566,0.33568584101394416
Tomato,mckay,7.4140050662066335,-467.36152354666984,0.9967727745384835,0.4218610686262261
Tomato,buehler_model,6.23380315,,,
